Title	channel_title	published_at	category_id	view_count	like_count	comment_count	favorite_count	duration	definition	caption	engagement_rate	likes_to_views_ratio	comments_to_views_ratio	duration_seconds	video_age_days
Bike Ne Aukaat Dikha Di ðŸ’€ðŸ’€ #shorts #minivlog #ashortaday #vlog #tranding #travel #barish #dailyvlog	Sirf Shreyansh	2024-08-29 12:50:00+00:00	22	102084766	0	1041	0	PT58S	hd	FALSE	1.02E-05	0	1.02E-05	58	445
FIRST CLASS train FOOD in India #hindi #train	Priya and Sid	2024-09-09 12:18:46+00:00	26	85923024	3102672	5370	0	PT1M	hd	FALSE	0.0361724	0.036109902	6.25E-05	60	434
SURPRISED Foreigners Order Lime & Soda in KERALA (Travel video) #Shorts #TravelShorts #indiafood	Those Happy Days	2023-02-08 11:04:26+00:00	19	64067697	2616215	15526	0	PT32S	hd	FALSE	0.041077502	0.040835165	0.000242337	32	1013
#160 Atlast TRAIN arrives | Kerala Express	therainbowgirl	2023-07-22 13:30:25+00:00	24	55206659	1521641	1456	0	PT46S	hd	FALSE	0.027589008	0.027562635	2.64E-05	46	849
Watch Vaishnodevi Trip Vlog on @Neelam_kukreja  ðŸ˜ #priyalkukreja #shorts	Priyal Kukreja	2024-06-19 08:30:15+00:00	22	50313620	838345	1137	0	PT43S	hd	FALSE	0.016684985	0.016662387	2.26E-05	43	517
Sisters Ep-26 | Gone Wrong!! Sister à¤•à¤¾ Travel Vlog ðŸ˜‚| Badi Behen - Choti Behen #shorts ShortsBreak	Shorts Break	2022-12-24 03:30:04+00:00	23	42423507	2156747	2695	0	PT56S	hd	FALSE	0.050902014	0.050838488	6.35E-05	56	1060
What Breakfast is Eaten in America? â¤ï¸ (Hotel Food Travel Vlogs)	USA RAJA Telugu vlogs	2023-05-25 12:30:54+00:00	22	27922159	463189	687	0	PT21S	hd	FALSE	0.016613185	0.016588581	2.46E-05	21	907
Chalti Train Me PizzaðŸ˜‚ðŸ˜‚ #shortvideo #minivlog #shorts #pizza #travelvlog	Traveler Ram	2023-03-30 14:22:15+00:00	22	26446511	1407821	1110	0	PT55S	hd	FALSE	0.053274738	0.053232767	4.20E-05	55	963
12 HOUR ROAD TRIP WITH MY BOYFRIENDðŸ˜… #shorts #college #travel #traveling #roadtrip #relationship	Katie Feeney	2023-12-05 19:28:59+00:00	22	23952429	963035	3016	0	PT57S	hd	FALSE	0.040332067	0.04020615	0.000125916	57	713
My most expensive Vietnam trip cost and itinerary #minivlog #ytshorts #vietnam	wittySpace	2024-12-16 15:57:43+00:00	22	26091824	908602	2033	0	PT1M	hd	FALSE	0.034901162	0.034823244	7.79E-05	60	336
What life in Afghanistan is like in 2023 #afghanistan #taliban #travelvlog #afghan	Chloe Jade Travels	2023-03-13 19:58:18+00:00	22	21728303	0	61444	0	PT1M	hd	FALSE	0.002827832	0	0.002827832	60	980
Desis Go to The Most EXPENSIVE Country | Switzerland	Slayy Point	2024-05-17 12:00:01+00:00	23	21162221	420414	9838	0	PT28M11S	hd	TRUE	0.020331135	0.01986625	0.000464885	1691	549
Flying First Class to Every Continent in 7 days	Trek Trendy	2023-11-22 20:30:05+00:00	19	20163801	169355	7879	0	PT45M25S	hd	FALSE	0.008789711	0.008398962	0.00039075	2725	726
Capsule Hotel Day 2ðŸ“Starlodge Adventure Suites, Peru ðŸ‡µðŸ‡ª #hindi #vlog #travel	Priya and Sid	2025-03-06 08:10:44+00:00	26	28133815	822466	1167	0	PT1M23S	hd	FALSE	0.029275552	0.029234072	4.15E-05	83	257
#76 Returning back to KOCHI	therainbowgirl	2023-04-26 13:30:31+00:00	24	19698225	961443	865	0	PT50S	hd	FALSE	0.048852521	0.048808608	4.39E-05	50	936
Took my 8month daughter on her forst trekâ›°ï¸ #travel #babyblogger #travelvlog	Dr Ambika Dutt	2024-08-21 05:56:25+00:00	22	18985347	745124	2872	0	PT52S	hd	FALSE	0.039398593	0.039247319	0.000151275	52	454
I lived in the Luxurious tiny apartment of Hong Kong #ytshorts #hongkong #tinyhouse #travel	wittySpace	2025-08-28 16:17:01+00:00	22	28867787	638354	939	0	PT1M7S	hd	FALSE	0.022145549	0.022113021	3.25E-05	67	81
Place On Earth That Don't Feel Real #travel #explore #expectations #adventure #shorts	Green Cinematic	2025-01-11 01:30:34+00:00	22	22752407	294159	494	0	PT18S	hd	FALSE	0.012950409	0.012928697	2.17E-05	18	311
Things I Learned in The Philippines (Part 2)! #travel #travelvlog #philippines #filipino	Dude Abroad	2024-01-22 04:57:31+00:00	19	17026008	0	13173	0	PT56S	hd	FALSE	0.000773699	0	0.000773699	56	666
My life's Biggest Decision ðŸ«£ ! #tanyakhanijowshorts #travel #travelshorts	Tanya Khanijow	2023-03-26 11:30:09+00:00	19	13765713	573837	3318	0	PT1M	hd	FALSE	0.041926993	0.04168596	0.000241034	60	967
What i Eat in a Day While Travelling #minivlog #shorts	Swara Singh	2024-09-18 07:22:29+00:00	26	17331741	679519	3190	0	PT1M	hd	FALSE	0.039390674	0.039206619	0.000184055	60	426
#381 My FIRST Nightout at Visakhapatnam	therainbowgirl	2024-02-26 14:35:43+00:00	24	14250732	520445	1110	0	PT1M	hd	FALSE	0.036598468	0.036520578	7.79E-05	60	630
And I would do it again ðŸ˜#explore #travel #travelblogger #travelvlog #morocco #relatable #vacation	Ayana Iman	2025-05-08 16:39:41+00:00	24	29791562	762391	3415	0	PT11S	hd	FALSE	0.025705466	0.025590836	0.00011463	11	193
â‚¹200 wala 10 meðŸ˜‚ #minivlog #shorts	Traveler Ram	2023-07-07 03:00:16+00:00	22	13466702	746995	433	0	PT59S	hd	FALSE	0.055501929	0.055469776	3.22E-05	59	865
Jaipur To Mumbai Journey ðŸš‚ #mariakhan #shorts @sadimkhan03 @mukeem03	Maria Khan	2025-05-25 04:30:01+00:00	22	21916963	464693	1410	0	PT1M	hd	FALSE	0.021266769	0.021202435	6.43E-05	60	177
I travelled 7 countries with only 50 thousand rupees  #ytshorts #minivlog #vlog	wittySpace	2025-06-30 14:56:12+00:00	22	19492072	599919	810	0	PT1M12S	hd	FALSE	0.030819144	0.030777588	4.16E-05	72	140
